company_name,lever_slug,lever_jobs_url,lever_api_url,source_dataset,first_seen_in_dataset,last_seen_in_dataset,job_count_in_dataset,validated,validated_at,validation_status
Sunsrce,sunsrce,https://jobs.lever.co/sunsrce,https://api.lever.co/v0/postings/sunsrce?mode=json,open-apply-jobs,2022-12-20,2026-06-26,17306,,,
Sunwatercapital,sunwatercapital,https://jobs.lever.co/sunwatercapital,https://api.lever.co/v0/postings/sunwatercapital?mode=json,open-apply-jobs,2026-03-19,2026-06-15,232,,,
Super,super,https://jobs.lever.co/super,https://api.lever.co/v0/postings/super?mode=json,open-apply-jobs,2021-08-17,2026-01-06,896,,,
Super Com,super-com,https://jobs.lever.co/super-com,https://api.lever.co/v0/postings/super-com?mode=json,open-apply-jobs,2025-08-01,2025-08-01,64,,,
Superannotate,superannotate,https://jobs.lever.co/superannotate,https://api.lever.co/v0/postings/superannotate?mode=json,open-apply-jobs,2025-09-05,2026-06-24,353,,,
Superiorexecutiveandlegalrecruiting,superiorexecutiveandlegalrecruiting,https://jobs.lever.co/superiorexecutiveandlegalrecruiting,https://api.lever.co/v0/postings/superiorexecutiveandlegalrecruiting?mode=json,open-apply-jobs,2018-11-02,2026-04-22,1260,,,
Supermove,supermove,https://jobs.lever.co/supermove,https://api.lever.co/v0/postings/supermove?mode=json,open-apply-jobs,2021-08-11,2026-02-19,175,,,
Superside,superside,https://jobs.lever.co/superside,https://api.lever.co/v0/postings/superside?mode=json,open-apply-jobs,2023-02-01,2026-06-23,1469,,,
Superstate,superstate,https://jobs.lever.co/superstate,https://api.lever.co/v0/postings/superstate?mode=json,open-apply-jobs,2024-01-26,2026-01-15,374,,,
Supportkind,supportkind,https://jobs.lever.co/supportkind,https://api.lever.co/v0/postings/supportkind?mode=json,open-apply-jobs,2025-11-03,2026-04-29,1564,,,
Sure,sure,https://jobs.lever.co/sure,https://api.lever.co/v0/postings/sure?mode=json,open-apply-jobs,2026-06-08,2026-06-09,39,,,
Surfshark,surfshark,https://jobs.lever.co/surfshark,https://api.lever.co/v0/postings/surfshark?mode=json,open-apply-jobs,2025-09-09,2026-06-01,1191,,,
